"External ID","Name","Supplier/Supplier Product Code"
"AUTOLAMPS0207","ISUZU NPR 3.6 (93-03) - ORNAMENT PLATE MOULDING (GREY) - RH","IZ02-0104B"
"AUTOLAMPS0208","ISUZU NPR 3.6 (93-03) - ORNAMENT PLATE MOULDING (ORANGE) - LH","IZ02-0104"
"AUTOLAMPS0209","ISUZU NPR 3.6 (93-03) - ORNAMENT PLATE MOULDING (ORANGE) - RH","IZ02-0104"
"AUTOLAMPS0217","ISUZU NPR 3.6 (93-03) - TAIL LAMP (213-1907) - LH","IZ01-0102"
"AUTOLAMPS0218","ISUZU NPR 3.6 (93-03) - TAIL LAMP (213-1907) - RH","IZ01-0102"
"AUTOLAMPS0212","ISUZU NPR 3.6 (93-03) - TAIL LENS (213-1907-00) - LH","IZ01-0102-00"
"AUTOLAMPS0213","ISUZU NPR 3.6 (93-03) - TAIL LENS (213-1907-00) - RH","IZ01-0102-00"
"AUTOLAMPS0190","ISUZU NPR 4.3 (04-05) - WHEEL ARC - LH","IZ07-0126"
"AUTOLAMPS0191","ISUZU NPR 4.3 (04-05) - WHEEL ARC - RH","IZ07-0126"
"AUTOLAMPS0221","ISUZU NPR 4.3 (04-14) - CORNER LAMP (213-1530) - LH","IZ07-0103"
"AUTOLAMPS0222","ISUZU NPR 4.3 (04-14) - CORNER LAMP (213-1530) - RH","IZ07-0103"
"AUTOLAMPS0228","ISUZU NPR 4.3 (04-14) - CORNER LENS (213-1530-00) - LH","IZ07-0103-00"
"AUTOLAMPS0229","ISUZU NPR 4.3 (04-14) - CORNER LENS (213-1530-00) - RH","IZ07-0103-00"
"AUTOLAMPS0223","ISUZU NPR 4.3 (04-14) - CORNER PANEL - LH","IZ07-0108-01"
"AUTOLAMPS0224","ISUZU NPR 4.3 (04-14) - CORNER PANEL - RH","IZ07-0108-01"
"AUTOLAMPS0225","ISUZU NPR 4.3 (04-14) - FRONT GRILL LONG","IZ07-0114B"
"AUTOLAMPS0226","ISUZU NPR 4.3 (04-14) - HEAD LAMP (213-1136) - LH","IZ07-0101"
"AUTOLAMPS0227","ISUZU NPR 4.3 (04-14) - HEAD LAMP (213-1136) - RH","IZ07-0101"
"AUTOLAMPS0230","ISUZU NPR 4.3 (04-14) - HEAD LENS (213-1136-00) - LH","00-IZ07-0101"
"AUTOLAMPS0231","ISUZU NPR 4.3 (04-14) - HEAD LENS (213-1136-00) - RH","00-IZ07-0101"
"AUTOLAMPS0232","ISUZU NPR 4.3 (04-14) - MIRROR POLE - LH","IZ07-0107-01"
"AUTOLAMPS0233","ISUZU NPR 4.3 (04-14) - MIRROR POLE - RH","IZ07-0107-02"
